product_id,product_name,brand,category,material,color,size_available,gender,season,price_usd,description,care_instructions
P0016,MekongBasics Brown T-shirt,MekongBasics,T-shirt,Cotton,Brown,"M, XS, S, XL",Men,Summer,15.3,"Comfortable t-shirt designed by MekongBasics, featuring soft cotton fabric and a relaxed fit.","Machine wash cold, do not bleach, tumble dry low."
P0017,UrbanLeaf Blue Hoodie,UrbanLeaf,Hoodie,Wool,Blue,"XL, S, L, XS, M",Unisex,Winter,82.16,"A stylish hoodie crafted with wool fabric, offering breathable and lightweight wear.",Hand wash cold or dry clean only.
P0018,UrbanLeaf Brown Shorts,UrbanLeaf,Shorts,Cotton Blend,Brown,"XS, S, XL",Unisex,Spring,35.99,"A stylish shorts crafted with cotton blend fabric, offering breathable and lightweight wear.","Machine wash cold, tumble dry low."
P0019,UrbanLeaf Green Jeans,UrbanLeaf,Jeans,Cotton,Green,"M, L, XL",Women,Winter,75.68,This green jeans from UrbanLeaf is made of cotton and designed for everyday comfort.,"Machine wash cold, do not bleach, tumble dry low."
P0020,SaigonStyle Red Shirt,SaigonStyle,Shirt,Wool,Red,"S, L, XL",Men,All-season,72.28,Modern shirt suitable for casual outings. Made with durable wool material.,Hand wash cold or dry clean only.
P0021,NorthWind Blue Shorts,NorthWind,Shorts,Cotton,Blue,"XL, XS, S",Unisex,Spring,21.26,Modern shorts suitable for casual outings. Made with durable cotton material.,"Machine wash cold, do not bleach, tumble dry low."
P0022,MekongBasics Blue Shorts,MekongBasics,Shorts,Cotton,Blue,"XS, M, S, L, XL",Men,Autumn,99.57,"A stylish shorts crafted with cotton fabric, offering breathable and lightweight wear.","Machine wash cold, do not bleach, tumble dry low."
P0023,UrbanLeaf Gray Skirt,UrbanLeaf,Skirt,Linen,Gray,"XL, M, XS",Women,Autumn,114.01,"A stylish skirt crafted with linen fabric, offering breathable and lightweight wear.","Hand wash recommended, air dry."
P0024,MekongBasics Brown Hoodie,MekongBasics,Hoodie,Polyester,Brown,"L, XL, M, S",Women,Autumn,42.64,This brown hoodie from MekongBasics is made of polyester and designed for everyday comfort.,"Machine wash cold, quick dry, no ironing needed."
P0025,VietWear Brown Jacket,VietWear,Jacket,Denim,Brown,"XL, M, S, L",Men,Winter,51.67,"Comfortable jacket designed by VietWear, featuring soft denim fabric and a relaxed fit.","Wash inside out with similar colors, avoid high heat."
P0026,NorthWind Beige Dress,NorthWind,Dress,Cotton Blend,Beige,"M, XL, S, L, XS",Women,Winter,33.49,Modern dress suitable for casual outings. Made with durable cotton blend material.,"Machine wash cold, tumble dry low."
P0027,MekongBasics Blue Sweater,MekongBasics,Sweater,Polyester,Blue,"S, M, XS, L, XL",Unisex,Spring,75.17,Modern sweater suitable for casual outings. Made with durable polyester material.,"Machine wash cold, quick dry, no ironing needed."
P0028,NorthWind Blue Shorts,NorthWind,Shorts,Denim,Blue,"S, L, XL",Women,Summer,58.05,Modern shorts suitable for casual outings. Made with durable denim material.,"Wash inside out with similar colors, avoid high heat."
P0029,LotusFashion Blue Skirt,LotusFashion,Skirt,Linen,Blue,"XL, M, S, L",Women,Autumn,81.02,"A stylish skirt crafted with linen fabric, offering breathable and lightweight wear.","Hand wash recommended, air dry."
P0030,LotusFashion Black Dress,LotusFashion,Dress,Polyester,Black,"S, M, XS",Women,All-season,84.57,Modern dress suitable for casual outings. Made with durable polyester material.,"Machine wash cold, quick dry, no ironing needed."
P0031,UrbanLeaf Blue Jacket,UrbanLeaf,Jacket,Cotton Blend,Blue,"L, XL, M, XS, S",Women,Winter,100.73,This blue jacket from UrbanLeaf is made of cotton blend and designed for everyday comfort.,"Machine wash cold, tumble dry low."
P0032,UrbanLeaf Black Jacket,UrbanLeaf,Jacket,Wool,Black,"M, XL, L, XS",Men,Summer,53.44,Modern jacket suitable for casual outings. Made with durable wool material.,Hand wash cold or dry clean only.
P0033,UrbanLeaf Beige Shorts,UrbanLeaf,Shorts,Wool,Beige,"XL, M, XS, S",Women,Autumn,89.3,Modern shorts suitable for casual outings. Made with durable wool material.,Hand wash cold or dry clean only.
P0034,MekongBasics Beige Jeans,MekongBasics,Jeans,Cotton Blend,Beige,"L, XS, S, M, XL",Women,Summer,106.58,Modern jeans suitable for casual outings. Made with durable cotton blend material.,"Machine wash cold, tumble dry low."
P0035,NorthWind Blue Jacket,NorthWind,Jacket,Denim,Blue,"XL, M, XS",Unisex,Summer,45.48,This blue jacket from NorthWind is made of denim and designed for everyday comfort.,"Wash inside out with similar colors, avoid high heat."
P0036,MekongBasics Beige Skirt,MekongBasics,Skirt,Polyester,Beige,"L, S, XL, XS, M",Unisex,Autumn,114.6,Modern skirt suitable for casual outings. Made with durable polyester material.,"Machine wash cold, quick dry, no ironing needed."
P0037,SaigonStyle Green Shirt,SaigonStyle,Shirt,Linen,Green,"S, M, L, XS",Unisex,Summer,50.61,This green shirt from SaigonStyle is made of linen and designed for everyday comfort.,"Hand wash recommended, air dry."
P0038,LotusFashion Green Shorts,LotusFashion,Shorts,Polyester,Green,"L, S, XS",Women,Summer,103.84,"Comfortable shorts designed by LotusFashion, featuring soft polyester fabric and a relaxed fit.","Machine wash cold, quick dry, no ironing needed."
P0039,VietWear Brown Skirt,VietWear,Skirt,Cotton Blend,Brown,"S, L, M",Women,Autumn,11.3,"A stylish skirt crafted with cotton blend fabric, offering breathable and lightweight wear.","Machine wash cold, tumble dry low."
P0040,UrbanLeaf Beige Sweater,UrbanLeaf,Sweater,Cotton Blend,Beige,"L, XS, M, XL",Men,Spring,77.39,This beige sweater from UrbanLeaf is made of cotton blend and designed for everyday comfort.,"Machine wash cold, tumble dry low."
P0041,VietWear Gray Sweater,VietWear,Sweater,Linen,Gray,"XL, XS, M, L",Women,Autumn,107.86,This gray sweater from VietWear is made of linen and designed for everyday comfort.,"Hand wash recommended, air dry."
P0042,UrbanLeaf Blue Shirt,UrbanLeaf,Shirt,Cotton Blend,Blue,"XS, S, XL, L, M",Unisex,Autumn,14.06,"Comfortable shirt designed by UrbanLeaf, featuring soft cotton blend fabric and a relaxed fit.","Machine wash cold, tumble dry low."
P0043,SaigonStyle Red Sweater,SaigonStyle,Sweater,Polyester,Red,"M, S, XS, L",Unisex,Winter,40.18,"A stylish sweater crafted with polyester fabric, offering breathable and lightweight wear.","Machine wash cold, quick dry, no ironing needed."
P0044,MekongBasics Gray Sweater,MekongBasics,Sweater,Wool,Gray,"L, S, XL",Men,Autumn,102.74,This gray sweater from MekongBasics is made of wool and designed for everyday comfort.,Hand wash cold or dry clean only.
P0045,VietWear Beige Sweater,VietWear,Sweater,Denim,Beige,"S, XL, M, L",Men,All-season,23.82,This beige sweater from VietWear is made of denim and designed for everyday comfort.,"Wash inside out with similar colors, avoid high heat."
P0046,LotusFashion Red Shorts,LotusFashion,Shorts,Denim,Red,"S, L, M",Unisex,Spring,82.94,"A stylish shorts crafted with denim fabric, offering breathable and lightweight wear.","Wash inside out with similar colors, avoid high heat."
P0047,NorthWind White Jeans,NorthWind,Jeans,Wool,White,"XS, XL, L, S",Unisex,Autumn,16.53,This white jeans from NorthWind is made of wool and designed for everyday comfort.,Hand wash cold or dry clean only.
P0048,VietWear Green Shirt,VietWear,Shirt,Linen,Green,"L, M, S",Men,Winter,23.28,This green shirt from VietWear is made of linen and designed for everyday comfort.,"Hand wash recommended, air dry."
P0049,MekongBasics Black Shorts,MekongBasics,Shorts,Cotton Blend,Black,"XS, XL, S, M, L",Men,Winter,35.48,"Comfortable shorts designed by MekongBasics, featuring soft cotton blend fabric and a relaxed fit.","Machine wash cold, tumble dry low."
P0050,VietWear Brown Skirt,VietWear,Skirt,Cotton Blend,Brown,"XS, M, XL, S",Unisex,Summer,111.95,Modern skirt suitable for casual outings. Made with durable cotton blend material.,"Machine wash cold, tumble dry low."
P0051,UrbanLeaf Gray Hoodie,UrbanLeaf,Hoodie,Denim,Gray,"S, XS, M, L",Women,Winter,17.17,This gray hoodie from UrbanLeaf is made of denim and designed for everyday comfort.,"Wash inside out with similar colors, avoid high heat."
P0052,NorthWind Gray Shirt,NorthWind,Shirt,Wool,Gray,"L, XL, XS, M, S",Women,Winter,37.1,Modern shirt suitable for casual outings. Made with durable wool material.,Hand wash cold or dry clean only.
P0053,MekongBasics Green Jacket,MekongBasics,Jacket,Cotton,Green,"L, XL, XS, M, S",Men,Autumn,67.87,This green jacket from MekongBasics is made of cotton and designed for everyday comfort.,"Machine wash cold, do not bleach, tumble dry low."
P0054,UrbanLeaf Gray Jeans,UrbanLeaf,Jeans,Wool,Gray,"L, M, XS, XL, S",Women,Winter,54.74,"A stylish jeans crafted with wool fabric, offering breathable and lightweight wear.",Hand wash cold or dry clean only.
P0055,NorthWind Beige Jacket,NorthWind,Jacket,Polyester,Beige,"XS, S, XL, M",Women,Winter,42.93,"A stylish jacket crafted with polyester fabric, offering breathable and lightweight wear.","Machine wash cold, quick dry, no ironing needed."
P0056,VietWear Brown T-shirt,VietWear,T-shirt,Cotton,Brown,"XL, L, M",Women,All-season,84.63,"Comfortable t-shirt designed by VietWear, featuring soft cotton fabric and a relaxed fit.","Machine wash cold, do not bleach, tumble dry low."
P0057,UrbanLeaf Gray Dress,UrbanLeaf,Dress,Cotton,Gray,"XL, XS, S, L, M",Women,Winter,80.99,"Comfortable dress designed by UrbanLeaf, featuring soft cotton fabric and a relaxed fit.","Machine wash cold, do not bleach, tumble dry low."
P0058,UrbanLeaf Green Shorts,UrbanLeaf,Shorts,Polyester,Green,"XL, L, M, XS, S",Women,All-season,56.88,Modern shorts suitable for casual outings. Made with durable polyester material.,"Machine wash cold, quick dry, no ironing needed."
P0059,SaigonStyle Brown Hoodie,SaigonStyle,Hoodie,Cotton Blend,Brown,"S, XL, XS, L, M",Women,All-season,45.43,"A stylish hoodie crafted with cotton blend fabric, offering breathable and lightweight wear.","Machine wash cold, tumble dry low."
P0060,SaigonStyle Green T-shirt,SaigonStyle,T-shirt,Cotton,Green,"S, XS, M, L, XL",Unisex,Winter,13.31,This green t-shirt from SaigonStyle is made of cotton and designed for everyday comfort.,"Machine wash cold, do not bleach, tumble dry low."
P0061,NorthWind Black Shorts,NorthWind,Shorts,Denim,Black,"XS, L, XL, M, S",Women,Spring,21.73,"A stylish shorts crafted with denim fabric, offering breathable and lightweight wear.","Wash inside out with similar colors, avoid high heat."
P0062,NorthWind Gray Shirt,NorthWind,Shirt,Polyester,Gray,"S, L, XS, M, XL",Men,Autumn,117.47,"Comfortable shirt designed by NorthWind, featuring soft polyester fabric and a relaxed fit.","Machine wash cold, quick dry, no ironing needed."
P0063,MekongBasics Beige Skirt,MekongBasics,Skirt,Polyester,Beige,"L, XL, XS",Women,Winter,22.82,"A stylish skirt crafted with polyester fabric, offering breathable and lightweight wear.","Machine wash cold, quick dry, no ironing needed."
P0064,LotusFashion Green Shorts,LotusFashion,Shorts,Linen,Green,"XS, M, L, XL",Unisex,Summer,49.86,Modern shorts suitable for casual outings. Made with durable linen material.,"Hand wash recommended, air dry."
P0065,MekongBasics Brown Skirt,MekongBasics,Skirt,Wool,Brown,"M, L, XS",Women,Spring,108.09,This brown skirt from MekongBasics is made of wool and designed for everyday comfort.,Hand wash cold or dry clean only.
P0066,NorthWind Red Sweater,NorthWind,Sweater,Linen,Red,"XL, XS, L, M, S",Women,Summer,40.83,This red sweater from NorthWind is made of linen and designed for everyday comfort.,"Hand wash recommended, air dry."
P0067,VietWear White Hoodie,VietWear,Hoodie,Cotton Blend,White,"S, XS, XL",Men,All-season,79.75,"A stylish hoodie crafted with cotton blend fabric, offering breathable and lightweight wear.","Machine wash cold, tumble dry low."
P0068,MekongBasics Blue Shirt,MekongBasics,Shirt,Wool,Blue,"L, XL, S, M",Men,Summer,85.79,This blue shirt from MekongBasics is made of wool and designed for everyday comfort.,Hand wash cold or dry clean only.
P0069,MekongBasics Red Dress,MekongBasics,Dress,Cotton,Red,"M, XL, L",Women,Winter,46.82,Modern dress suitable for casual outings. Made with durable cotton material.,"Machine wash cold, do not bleach, tumble dry low."
P0070,SaigonStyle Red Sweater,SaigonStyle,Sweater,Cotton Blend,Red,"XL, XS, L, S, M",Men,Spring,28.13,"A stylish sweater crafted with cotton blend fabric, offering breathable and lightweight wear.","Machine wash cold, tumble dry low."
P0071,LotusFashion Red Shirt,LotusFashion,Shirt,Denim,Red,"M, XL, L",Unisex,Summer,19.46,"A stylish shirt crafted with denim fabric, offering breathable and lightweight wear.","Wash inside out with similar colors, avoid high heat."
P0072,SaigonStyle Green Sweater,SaigonStyle,Sweater,Wool,Green,"XL, L, M",Women,Summer,72.05,This green sweater from SaigonStyle is made of wool and designed for everyday comfort.,Hand wash cold or dry clean only.
P0073,NorthWind Gray Jacket,NorthWind,Jacket,Wool,Gray,"XL, L, XS",Unisex,Winter,103.33,This gray jacket from NorthWind is made of wool and designed for everyday comfort.,Hand wash cold or dry clean only.
P0074,LotusFashion Blue Dress,LotusFashion,Dress,Wool,Blue,"XL, XS, S",Men,Spring,34.1,This blue dress from LotusFashion is made of wool and designed for everyday comfort.,Hand wash cold or dry clean only.
P0075,NorthWind Gray Hoodie,NorthWind,Hoodie,Denim,Gray,"XL, M, XS, S",Unisex,All-season,33.23,"A stylish hoodie crafted with denim fabric, offering breathable and lightweight wear.","Wash inside out with similar colors, avoid high heat."
P0076,UrbanLeaf Brown Skirt,UrbanLeaf,Skirt,Wool,Brown,"M, L, S",Men,Winter,19.05,This brown skirt from UrbanLeaf is made of wool and designed for everyday comfort.,Hand wash cold or dry clean only.
P0077,MekongBasics Black Shorts,MekongBasics,Shorts,Denim,Black,"L, M, XS",Unisex,All-season,15.94,Modern shorts suitable for casual outings. Made with durable denim material.,"Wash inside out with similar colors, avoid high heat."
P0078,NorthWind Gray Jeans,NorthWind,Jeans,Cotton,Gray,"L, XL, M, XS, S",Men,Summer,47.67,"Comfortable jeans designed by NorthWind, featuring soft cotton fabric and a relaxed fit.","Machine wash cold, do not bleach, tumble dry low."
P0079,UrbanLeaf White Jeans,UrbanLeaf,Jeans,Cotton,White,"S, M, L, XS, XL",Men,All-season,70.41,Modern jeans suitable for casual outings. Made with durable cotton material.,"Machine wash cold, do not bleach, tumble dry low."
P0080,UrbanLeaf Blue Shorts,UrbanLeaf,Shorts,Polyester,Blue,"L, XL, S",Unisex,All-season,116.35,"Comfortable shorts designed by UrbanLeaf, featuring soft polyester fabric and a relaxed fit.","Machine wash cold, quick dry, no ironing needed."
P0081,MekongBasics Red Shirt,MekongBasics,Shirt,Linen,Red,"XS, S, XL",Men,All-season,72.13,"Comfortable shirt designed by MekongBasics, featuring soft linen fabric and a relaxed fit.","Hand wash recommended, air dry."
P0082,MekongBasics Gray Skirt,MekongBasics,Skirt,Cotton Blend,Gray,"XS, L, S, M",Women,Autumn,44.19,"A stylish skirt crafted with cotton blend fabric, offering breathable and lightweight wear.","Machine wash cold, tumble dry low."
P0083,LotusFashion Black Shirt,LotusFashion,Shirt,Polyester,Black,"S, XS, XL, L",Men,All-season,106.16,This black shirt from LotusFashion is made of polyester and designed for everyday comfort.,"Machine wash cold, quick dry, no ironing needed."
P0084,LotusFashion Blue Jacket,LotusFashion,Jacket,Wool,Blue,"S, L, M, XS",Men,Summer,46.69,Modern jacket suitable for casual outings. Made with durable wool material.,Hand wash cold or dry clean only.
P0085,SaigonStyle Gray Jeans,SaigonStyle,Jeans,Cotton Blend,Gray,"L, XL, S",Men,All-season,78.43,"A stylish jeans crafted with cotton blend fabric, offering breathable and lightweight wear.","Machine wash cold, tumble dry low."
P0086,VietWear Black Sweater,VietWear,Sweater,Denim,Black,"XL, S, L",Women,Spring,27.18,This black sweater from VietWear is made of denim and designed for everyday comfort.,"Wash inside out with similar colors, avoid high heat."
P0087,UrbanLeaf White Dress,UrbanLeaf,Dress,Cotton,White,"L, XL, S, XS",Unisex,Autumn,86.92,Modern dress suitable for casual outings. Made with durable cotton material.,"Machine wash cold, do not bleach, tumble dry low."
P0088,VietWear Blue Jacket,VietWear,Jacket,Denim,Blue,"M, S, XS, L, XL",Women,Summer,101.16,"A stylish jacket crafted with denim fabric, offering breathable and lightweight wear.","Wash inside out with similar colors, avoid high heat."
P0089,LotusFashion Gray Dress,LotusFashion,Dress,Polyester,Gray,"L, XL, XS, S",Women,All-season,14.5,This gray dress from LotusFashion is made of polyester and designed for everyday comfort.,"Machine wash cold, quick dry, no ironing needed."
P0090,NorthWind Black Sweater,NorthWind,Sweater,Linen,Black,"XL, S, XS, L, M",Unisex,Summer,96.7,"Comfortable sweater designed by NorthWind, featuring soft linen fabric and a relaxed fit.","Hand wash recommended, air dry."
P0091,NorthWind Blue Jeans,NorthWind,Jeans,Wool,Blue,"L, S, XL, M, XS",Women,All-season,75.35,"A stylish jeans crafted with wool fabric, offering breathable and lightweight wear.",Hand wash cold or dry clean only.
P0092,SaigonStyle Brown Dress,SaigonStyle,Dress,Denim,Brown,"S, XS, XL, M, L",Unisex,Spring,16.33,Modern dress suitable for casual outings. Made with durable denim material.,"Wash inside out with similar colors, avoid high heat."
P0093,SaigonStyle Gray Sweater,SaigonStyle,Sweater,Cotton Blend,Gray,"L, S, XL, M",Unisex,Summer,67.19,Modern sweater suitable for casual outings. Made with durable cotton blend material.,"Machine wash cold, tumble dry low."
P0094,MekongBasics Green Shirt,MekongBasics,Shirt,Cotton Blend,Green,"XL, XS, L, M, S",Women,Winter,115.3,"Comfortable shirt designed by MekongBasics, featuring soft cotton blend fabric and a relaxed fit.","Machine wash cold, tumble dry low."
P0095,MekongBasics White Hoodie,MekongBasics,Hoodie,Denim,White,"S, L, M, XS",Unisex,Summer,111.1,Modern hoodie suitable for casual outings. Made with durable denim material.,"Wash inside out with similar colors, avoid high heat."
P0096,SaigonStyle Gray Jacket,SaigonStyle,Jacket,Cotton,Gray,"XL, M, S",Unisex,Winter,81.53,Modern jacket suitable for casual outings. Made with durable cotton material.,"Machine wash cold, do not bleach, tumble dry low."
P0097,VietWear Brown Jacket,VietWear,Jacket,Wool,Brown,"M, XS, XL",Women,Autumn,73.29,"A stylish jacket crafted with wool fabric, offering breathable and lightweight wear.",Hand wash cold or dry clean only.
P0098,VietWear Gray Skirt,VietWear,Skirt,Cotton Blend,Gray,"S, XS, XL",Unisex,All-season,81.81,"Comfortable skirt designed by VietWear, featuring soft cotton blend fabric and a relaxed fit.","Machine wash cold, tumble dry low."
P0099,SaigonStyle Gray Skirt,SaigonStyle,Skirt,Cotton,Gray,"S, L, XL, M, XS",Unisex,Summer,62.1,This gray skirt from SaigonStyle is made of cotton and designed for everyday comfort.,"Machine wash cold, do not bleach, tumble dry low."
P0100,UrbanLeaf Red Dress,UrbanLeaf,Dress,Polyester,Red,"XS, M, XL",Unisex,All-season,107.33,Modern dress suitable for casual outings. Made with durable polyester material.,"Machine wash cold, quick dry, no ironing needed."
P0101,LotusFashion Beige Shirt,LotusFashion,Shirt,Wool,Beige,"L, S, XS, M",Men,Summer,36.96,"A stylish shirt crafted with wool fabric, offering breathable and lightweight wear.",Hand wash cold or dry clean only.
P0102,VietWear Red Jeans,VietWear,Jeans,Cotton Blend,Red,"S, XL, M",Unisex,Winter,91.22,Modern jeans suitable for casual outings. Made with durable cotton blend material.,"Machine wash cold, tumble dry low."
P0103,LotusFashion White Jacket,LotusFashion,Jacket,Polyester,White,"M, S, XL",Unisex,Autumn,114.78,This white jacket from LotusFashion is made of polyester and designed for everyday comfort.,"Machine wash cold, quick dry, no ironing needed."
P0104,UrbanLeaf Red Shorts,UrbanLeaf,Shorts,Denim,Red,"S, L, XL, M",Women,Autumn,77.36,This red shorts from UrbanLeaf is made of denim and designed for everyday comfort.,"Wash inside out with similar colors, avoid high heat."
P0105,UrbanLeaf Green Sweater,UrbanLeaf,Sweater,Polyester,Green,"S, XL, L, M, XS",Unisex,Winter,59.86,"Comfortable sweater designed by UrbanLeaf, featuring soft polyester fabric and a relaxed fit.","Machine wash cold, quick dry, no ironing needed."
P0106,NorthWind Blue Sweater,NorthWind,Sweater,Linen,Blue,"XL, M, XS, L",Men,Winter,79.6,"Comfortable sweater designed by NorthWind, featuring soft linen fabric and a relaxed fit.","Hand wash recommended, air dry."
P0107,SaigonStyle Blue Shorts,SaigonStyle,Shorts,Cotton Blend,Blue,"S, M, XL, L",Men,Spring,27.14,Modern shorts suitable for casual outings. Made with durable cotton blend material.,"Machine wash cold, tumble dry low."
P0108,LotusFashion Beige T-shirt,LotusFashion,T-shirt,Polyester,Beige,"L, S, XL, M, XS",Men,Spring,47.39,"Comfortable t-shirt designed by LotusFashion, featuring soft polyester fabric and a relaxed fit.","Machine wash cold, quick dry, no ironing needed."
P0109,UrbanLeaf Gray Dress,UrbanLeaf,Dress,Polyester,Gray,"XS, S, M",Men,Spring,94.99,This gray dress from UrbanLeaf is made of polyester and designed for everyday comfort.,"Machine wash cold, quick dry, no ironing needed."
P0110,NorthWind Black Dress,NorthWind,Dress,Polyester,Black,"L, XL, M, XS, S",Men,Spring,71.7,This black dress from NorthWind is made of polyester and designed for everyday comfort.,"Machine wash cold, quick dry, no ironing needed."
P0111,VietWear Black T-shirt,VietWear,T-shirt,Cotton Blend,Black,"XS, M, S, XL, L",Women,Autumn,108.17,This black t-shirt from VietWear is made of cotton blend and designed for everyday comfort.,"Machine wash cold, tumble dry low."
P0112,UrbanLeaf Brown Hoodie,UrbanLeaf,Hoodie,Wool,Brown,"XS, S, L, M, XL",Men,All-season,40.51,This brown hoodie from UrbanLeaf is made of wool and designed for everyday comfort.,Hand wash cold or dry clean only.
P0113,NorthWind Brown Dress,NorthWind,Dress,Cotton Blend,Brown,"L, M, XL, S",Women,Autumn,71.37,This brown dress from NorthWind is made of cotton blend and designed for everyday comfort.,"Machine wash cold, tumble dry low."
P0114,VietWear Black Shirt,VietWear,Shirt,Linen,Black,"M, S, XL",Unisex,Spring,87.04,This black shirt from VietWear is made of linen and designed for everyday comfort.,"Hand wash recommended, air dry."
P0115,SaigonStyle Black Sweater,SaigonStyle,Sweater,Cotton Blend,Black,"L, S, XS",Men,Winter,110.5,"A stylish sweater crafted with cotton blend fabric, offering breathable and lightweight wear.","Machine wash cold, tumble dry low."
P0116,LotusFashion Gray Sweater,LotusFashion,Sweater,Wool,Gray,"XS, S, XL",Men,All-season,44.76,This gray sweater from LotusFashion is made of wool and designed for everyday comfort.,Hand wash cold or dry clean only.
P0117,VietWear Beige Shirt,VietWear,Shirt,Polyester,Beige,"XS, M, L, S, XL",Men,Spring,118.32,"A stylish shirt crafted with polyester fabric, offering breathable and lightweight wear.","Machine wash cold, quick dry, no ironing needed."
P0118,SaigonStyle Beige Sweater,SaigonStyle,Sweater,Wool,Beige,"L, XS, M",Unisex,Winter,101.58,Modern sweater suitable for casual outings. Made with durable wool material.,Hand wash cold or dry clean only.
P0119,SaigonStyle Gray Sweater,SaigonStyle,Sweater,Cotton Blend,Gray,"XS, XL, S, M, L",Men,All-season,45.57,Modern sweater suitable for casual outings. Made with durable cotton blend material.,"Machine wash cold, tumble dry low."
P0120,VietWear Red Jacket,VietWear,Jacket,Polyester,Red,"M, L, S, XS",Unisex,Autumn,112.18,Modern jacket suitable for casual outings. Made with durable polyester material.,"Machine wash cold, quick dry, no ironing needed."
P0121,LotusFashion Red Skirt,LotusFashion,Skirt,Linen,Red,"L, S, XS",Unisex,Autumn,103.91,"A stylish skirt crafted with linen fabric, offering breathable and lightweight wear.","Hand wash recommended, air dry."
P0122,UrbanLeaf Brown Skirt,UrbanLeaf,Skirt,Linen,Brown,"M, XS, L, S, XL",Unisex,Winter,40.63,Modern skirt suitable for casual outings. Made with durable linen material.,"Hand wash recommended, air dry."
P0123,SaigonStyle Beige Shirt,SaigonStyle,Shirt,Polyester,Beige,"XS, M, L, XL, S",Women,Winter,71.16,"Comfortable shirt designed by SaigonStyle, featuring soft polyester fabric and a relaxed fit.","Machine wash cold, quick dry, no ironing needed."
P0124,MekongBasics Gray Shirt,MekongBasics,Shirt,Linen,Gray,"M, XS, XL, L, S",Men,Summer,119.23,"Comfortable shirt designed by MekongBasics, featuring soft linen fabric and a relaxed fit.","Hand wash recommended, air dry."
P0125,NorthWind Brown Skirt,NorthWind,Skirt,Wool,Brown,"L, S, M, XL",Unisex,Spring,30.56,Modern skirt suitable for casual outings. Made with durable wool material.,Hand wash cold or dry clean only.
